"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"1","Bay Point Light & Power","California","04-010",NA,NA,NA,NA
"2","Alex Brown Electric Plant","California","04-022","32495","24196",NA,NA
"3","California Electric Power","California","04-026","32495","24196",NA,NA
"4","1941.","California","04-100","32495","24196",NA,NA
"5","The California Oregon Power","California","04-028",NA,NA,NA,NA
"6","California-Pacific Utilities","California","04-030","1107306",NA,NA,NA
"7","California Public Service","California","04-031","998256",NA,NA,NA
"8","See also: Operations reported under Oregon","California","04-037","998256",NA,NA,NA
"9","Central Mendocino County Power","California","04-037","998256",NA,NA,NA
"10","Principal Officers:","California","04-031","175654","55141",NA,NA
"11","Coast Counties Gas and Electric","California","04-043","7125934","1667697",NA,NA
"12","Charles L. East","California","04-052",NA,"1667697",NA,NA
"13","Fontana Power Company","California","04-058","426994","42473","6",NA
"14","Imperial Valley Electric Power Co.","California","04-064","13212","18732","140",NA
"15","Indian Valley Light & Power Co.","California","04-067",NA,NA,NA,NA
"16","Klamath Water, Light & Power","California","04-070","8232","6691","131",NA
"17","Lucerne Water, Light and Power","California","04-082","8232","6691","131",NA
"18","Walton N. Moore Corporation","California","04-088","8232","6691","131",NA
"19","The Nevada-California Electric","California","04-100","8232","6691","131",NA
"20","Principal Officers:","California","04-026","44838840",NA,NA,NA
"21","Northern Light & Power Co.","California","04-102",NA,NA,NA,NA
"22","Oaks Light & Power Co.","California","04-103","25934","4732","166",NA
"23","Pacific Gas and Electric Company","California","04-109",NA,NA,NA,NA
"24","J. F. Partington","California","04-112","14914","5473","79",NA
"25","Pinole Light & Power Company","California","04-114","69354","38345","872",NA
"26","Point Arena Electric Light &","California","04-116","37716","10264","217",NA
"27","Public Utilities California","California","04-118","531026","104985","2708",NA
"28","San Diego Gas & Electric","California","04-124","28934416","6133697","98009",NA
"29","San Gorgonio Electric Corporation","California","04-130","514878",NA,"98009",NA
"30","Sierra City Electric Light Plant","California","04-140","5400","1450","58",NA
"31","Sierra Pacific Power Company","California","04-143",NA,NA,"58",NA
"32","Southern California Edison","California","04-149","368648082","46393848","629510",NA
"33","Southern California Water","California","04-150","251446","54908","1198",NA
"34","Turn Back Creek Light & Power","California","04-158","12202","21712","658",NA
"35","Vallejo Electric Light and Power","California","04-164","1175803","480452","9218",NA
"36","American Potash & Chemical","California","04-205","3203725",NA,"9218",NA
"37","Arrowhead Lake Corporation","California","04-210","3203725",NA,"9218",NA
"38","California Liquidating Company","California","04-230",NA,NA,"9218",NA
"39","Coos Bay Lumber Company","California","04-232",NA,NA,"9218",NA
"40","Hammond Redwood Company","California","04-243",NA,NA,"9218",NA
"41","Hercules Powder Company","California","04-247",NA,NA,"9218",NA
"42","Hobbs Wall Company","California","04-254",NA,NA,"9218",NA
"43","The Irvine Company","California","04-256","180000","23000","55",NA
"44","Washington Light & Water Co.","California","04-258","4275","190",NA,NA
"45","The McCloud River Lumber","California","04-259",NA,NA,NA,NA
"46","Pacific Electric Railway Company","California","04-260","7458993","5769","26",NA
"47","The Pacific Lumber Company","California","04-261",NA,NA,"26",NA
"48","Pickering Lumber Corporation","California","04-265",NA,NA,"26",NA
"49","The Red River Lumber Co.","California","04-267",NA,NA,"26",NA
"50","Sacramento River Farms, Ltd.","California","04-270","12118","2046","139",NA
"51","Santa Catalina Island Company","California","04-275","14476","52170","1",NA
"52","Union Lumber Company","California","04-287",NA,NA,"1",NA
"53","Hobart Estate Company and","California","04-288","1201064","167567","994",NA
"54","Union Pacific Railroad Company","California","04-290","1201064","167567","994",NA
"55","Weyerhaeuser Timber Company","California","04-309","1201064","167567","994",NA
"56","*Alameda Bureau of Electricity,","California","04-510","1502203",NA,NA,NA
"57","*Anaheim Light and Water","California","04-517","489205","236537","4205",NA
"58","*City of Avalon-Utility Depart","California","04-522","35403","85756",NA,NA
"59","*Azusa Light, Power and Water","California","04-524","172891","82165","1539",NA
"60","""Banning Electrical Department","California","04-531","192014",NA,NA,NA
"61","*Biggs Municipal Utilities","California","04-538",NA,NA,NA,NA
"62","*Burbank Public Service .","California","04-545",NA,NA,NA,NA
"63","*City of Colton","California","04-552","132470","126687","2931",NA
"64","*East Bay Municipal Utility","California","04-559","762181","307186","1",NA
"65","""Glendale Public Service","California","04-573","7180448","1566681","29188",NA
"66","*Gridley Municipal Utilities","California","04-580","98624","66147","866",NA
"67","*Healdsburg Municipal Light and","California","04-587","77338","63411",NA,NA
"68","""Imperial Irrigation District","California","04-590","5910765","708449","9440",NA
"69","*City of Lodi","California","04-594","315094","233919","3771",NA
"70","""Lompoc Light and Water","California","04-601","137697","80515","1166",NA
"71","*City of Los Angeles Department","California","04-608","211629840","30152242","496001",NA
"72","*The Metropolitan Water District","California","04-610",NA,NA,NA,NA
"73","*Merced Irrigation District","California","04-611","21631748",NA,NA,NA
"74","'Modesto Irrigation District","California","04-612","3844119",NA,NA,NA
"75","*Yosemite National Park Electric","California","04-613","865","50022","18",NA
"76","*Owens Valley Light and Power","California","04-615","1857128",NA,"641",NA
"77","*City of Palo Alto","California","04-622","842939",NA,NA,NA
"78","* Pasadena Municipal Light and","California","04-629","10585035","1672411","32861",NA
"79","*The City of Redding Electrical","California","04-636","263668","292383","3132",NA
"80","*City of Riverside, Electric Light","California","04-643","2006781","707612","12192",NA
"81","*City of Roseville","California","04-650","16168","119833","2636",NA
"82","•City and County of San Francisco,","California","04-655","12385001","2412423","2636",NA
"83","*Santa Clara Light and Power","California","04-657","45283","136802","2243",NA
"84","'Truckee Public Utility District","California","04-658",NA,"136802","2243",NA
"85","""Turlock Irrigation District","California","04-659","4979597","837415","8451",NA
"86","*City of Ukiah","California","04-664","121838","93985","1458",NA
"87","* I"". S. Bureau of Reclamation,","California","04-665","374836",NA,NA,NA
"88","*Escondido Mutual Water","California","04-805","173570","67885","898",NA
"89","'Mountain Empire Electric Co","California","04-900","91030","10014","310",NA
"90","*PIumas-Sierra Rural Electric","California","04-928","324340","35616","548",NA
"91","Population","California","04-950",NA,NA,NA,NA
"92","Alex Brown Electric Plant","California","04-022","32495","24196",NA,NA
"93","California Electric Power","California","04-026","32495","24196",NA,NA
"94","1941.","California","04-100","32495","24196",NA,NA
"95","The California Oregon Power","California","04-028",NA,NA,NA,NA
"96","California-Pacific Utilities","California","04-030","1107306",NA,NA,"12357801"
"97","California Public Service","California","04-031","998256",NA,NA,"7540838"
"98","See also: Operations reported under Oregon","California","04-037","998256",NA,NA,"7540838"
"99","Central Mendocino County Power","California","04-037","998256",NA,NA,"7540838"
"100","Principal Officers:","California","04-031","175654","55141",NA,"7540838"
"101","Coast Counties Gas and Electric","California","04-043","7125934","1667697",NA,"7540838"
"102","Charles L. East","California","04-052",NA,"1667697",NA,"7540838"
"103","Fontana Power Company","California","04-058","426994","42473","6","312216"
"104","Imperial Valley Electric Power Co.","California","04-064","13212","18732","140","467000"
"105","Indian Valley Light & Power Co.","California","04-067",NA,NA,NA,"467000"
"106","Klamath Water, Light & Power","California","04-070","8232","6691","131","467000"
"107","Lucerne Water, Light and Power","California","04-082","8232","6691","131","467000"
"108","Walton N. Moore Corporation","California","04-088","8232","6691","131","467000"
"109","The Nevada-California Electric","California","04-100","8232","6691","131","467000"
"110","Principal Officers:","California","04-026","44838840",NA,NA,"179039480"
"111","Northern Light & Power Co.","California","04-102",NA,NA,NA,"179039480"
"112","Oaks Light & Power Co.","California","04-103","25934","4732","166","127040"
"113","Pacific Gas and Electric Company","California","04-109",NA,NA,NA,"127040"
"114","J. F. Partington","California","04-112","14914","5473","79","192760"
"115","Pinole Light & Power Company","California","04-114","69354","38345","872","1216500"
"116","Point Arena Electric Light &","California","04-116","37716","10264","217","1216500"
"117","Public Utilities California","California","04-118","531026","104985","2708","98312"
"118","San Diego Gas & Electric","California","04-124","28934416","6133697","98009","2304000"
"119","San Gorgonio Electric Corporation","California","04-130","514878",NA,"98009","2304000"
"120","Sierra City Electric Light Plant","California","04-140","5400","1450","58","2304000"
"121","Sierra Pacific Power Company","California","04-143",NA,NA,"58","2304000"
"122","Southern California Edison","California","04-149","368648082","46393848","629510","48443238"
"123","Southern California Water","California","04-150","251446","54908","1198","933600"
"124","Turn Back Creek Light & Power","California","04-158","12202","21712","658","500802"
"125","Vallejo Electric Light and Power","California","04-164","1175803","480452","9218","17632000"
"126","American Potash & Chemical","California","04-205","3203725",NA,"9218","17632000"
"127","Arrowhead Lake Corporation","California","04-210","3203725",NA,"9218","17632000"
"128","California Liquidating Company","California","04-230",NA,NA,"9218","17632000"
"129","Coos Bay Lumber Company","California","04-232",NA,NA,"9218","17632000"
"130","Hammond Redwood Company","California","04-243",NA,NA,"9218","17632000"
"131","Hercules Powder Company","California","04-247",NA,NA,"9218","17632000"
"132","Hobbs Wall Company","California","04-254",NA,NA,"9218","17632000"
"133","The Irvine Company","California","04-256","180000","23000","55","17632000"
"134","Washington Light & Water Co.","California","04-258","4275","190",NA,"17632000"
"135","The McCloud River Lumber","California","04-259",NA,NA,NA,"17632000"
"136","Pacific Electric Railway Company","California","04-260","7458993","5769","26","17632000"
"137","The Pacific Lumber Company","California","04-261",NA,NA,"26","17632000"
"138","Pickering Lumber Corporation","California","04-265",NA,NA,"26","17632000"
"139","The Red River Lumber Co.","California","04-267",NA,NA,"26","17632000"
"140","Sacramento River Farms, Ltd.","California","04-270","12118","2046","139","17632000"
"141","Santa Catalina Island Company","California","04-275","14476","52170","1","17632000"
"142","Union Lumber Company","California","04-287",NA,NA,"1","17632000"
"143","Hobart Estate Company and","California","04-288","1201064","167567","994","1475760"
"144","Union Pacific Railroad Company","California","04-290","1201064","167567","994","1475760"
"145","Weyerhaeuser Timber Company","California","04-309","1201064","167567","994","1475760"
"146","*Alameda Bureau of Electricity,","California","04-510","1502203",NA,NA,"1475760"
"147","*Anaheim Light and Water","California","04-517","489205","236537","4205","9724800"
"148","*City of Avalon-Utility Depart","California","04-522","35403","85756",NA,"9724800"
"149","*Azusa Light, Power and Water","California","04-524","172891","82165","1539","2743476"
"150","""Banning Electrical Department","California","04-531","192014",NA,NA,"2743476"
"151","*Biggs Municipal Utilities","California","04-538",NA,NA,NA,"2743476"
"152","*Burbank Public Service .","California","04-545",NA,NA,NA,"2743476"
"153","*City of Colton","California","04-552","132470","126687","2931","5379839"
"154","*East Bay Municipal Utility","California","04-559","762181","307186","1","5379839"
"155","""Glendale Public Service","California","04-573","7180448","1566681","29188","81621490"
"156","*Gridley Municipal Utilities","California","04-580","98624","66147","866","1911200"
"157","*Healdsburg Municipal Light and","California","04-587","77338","63411",NA,"1911200"
"158","""Imperial Irrigation District","California","04-590","5910765","708449","9440","1911200"
"159","*City of Lodi","California","04-594","315094","233919","3771","11201440"
"160","""Lompoc Light and Water","California","04-601","137697","80515","1166","2188"
"161","*City of Los Angeles Department","California","04-608","211629840","30152242","496001","66487253"
"162","*The Metropolitan Water District","California","04-610",NA,NA,NA,"66487253"
"163","*Merced Irrigation District","California","04-611","21631748",NA,NA,"66487253"
"164","'Modesto Irrigation District","California","04-612","3844119",NA,NA,"66487253"
"165","*Yosemite National Park Electric","California","04-613","865","50022","18","1389937"
"166","*Owens Valley Light and Power","California","04-615","1857128",NA,"641","6809971"
"167","*City of Palo Alto","California","04-622","842939",NA,NA,"6809971"
"168","* Pasadena Municipal Light and","California","04-629","10585035","1672411","32861","77638800"
"169","*The City of Redding Electrical","California","04-636","263668","292383","3132","15247600"
"170","*City of Riverside, Electric Light","California","04-643","2006781","707612","12192","32445000"
"171","*City of Roseville","California","04-650","16168","119833","2636","4820800"
"172","•City and County of San Francisco,","California","04-655","12385001","2412423","2636","4820800"
"173","*Santa Clara Light and Power","California","04-657","45283","136802","2243","8408000"
"174","'Truckee Public Utility District","California","04-658",NA,"136802","2243","8408000"
"175","""Turlock Irrigation District","California","04-659","4979597","837415","8451","8408000"
"176","*City of Ukiah","California","04-664","121838","93985","1458","5400200"
"177","* I"". S. Bureau of Reclamation,","California","04-665","374836",NA,NA,"1600"
"178","*Escondido Mutual Water","California","04-805","173570","67885","898","1018750"
"179","'Mountain Empire Electric Co","California","04-900","91030","10014","310","37440"
"180","*PIumas-Sierra Rural Electric","California","04-928","324340","35616","548","684300"
